,athlete_id,athlete_name,year,school_name,rushing_yards,rushing_attempts,Rnd,Pick,Tm,Pos,Age,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,year_drafted
108,549766,J.Thomas,2014,Temple,38.0,16.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
110,549766,J.Thomas,2014,Temple,38.0,16.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
87,380905,J.Thomas,2010,Florida State,542.0,96.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
90,380905,J.Thomas,2011,Florida State,285.0,73.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
91,380905,J.Thomas,2011,Florida State,285.0,73.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
92,483031,J.Thomas,2011,Georgia Tech,29.0,2.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
85,380905,J.Thomas,2010,Florida State,542.0,96.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
109,549766,J.Thomas,2014,Temple,38.0,16.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
84,380905,J.Thomas,2010,Florida State,542.0,96.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
100,531104,J.Thomas,2013,Georgia Tech,233.0,32.0,4.0,129.0,DEN,TE,23.0,4.0,21.0,13.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,2406.0,36.0,5.0,,,Portland St.,2011
82,380905,J.Thomas,2009,Florida State,732.0,145.0,6.0,195.0,CHI,LB,23.0,2.0,12.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,2.0,0.5,West Virginia,2011
81,380905,J.Thomas,2009,Florida State,732.0,145.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
99,503852,J.Thomas,2010,Rutgers,24.0,8.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
111,549766,J.Thomas,2014,Temple,38.0,16.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
83,380905,J.Thomas,2009,Florida State,732.0,145.0,6.0,206.0,NWE,DB,24.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia Tech,2014
105,531104,J.Thomas,2014,Georgia Tech,999.0,188.0,5.0,143.0,DAL,DB,22.0,0.0,7.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,,Buffalo,2011
1200,382319,J.Todman,2009,Connecticut,169.0,40.0,6.0,183.0,SDG,RB,21.0,0.0,5.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,124.0,531.0,3.0,40.0,314.0,2.0,10.0,,,Connecticut,2011
1201,382319,J.Todman,2010,Connecticut,295.0,57.0,6.0,183.0,SDG,RB,21.0,0.0,5.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,124.0,531.0,3.0,40.0,314.0,2.0,10.0,,,Connecticut,2011
1890,536106,J.Walton,2014,Ole Miss,583.0,98.0,3.0,80.0,DEN,C,23.0,3.0,23.0,15.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Baylor,2010
1888,536106,J.Walton,2012,Ole Miss,64.0,14.0,3.0,80.0,DEN,C,23.0,3.0,23.0,15.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Baylor,2010
1889,536106,J.Walton,2013,Ole Miss,507.0,105.0,3.0,80.0,DEN,C,23.0,3.0,23.0,15.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Baylor,2010
130,480812,J.Webb,2010,Kansas,69.0,67.0,6.0,199.0,MIN,WR,23.0,0.0,4.0,4.0,102.0,90.0,159.0,888.0,3.0,6.0,50.0,326.0,4.0,10.0,74.0,0.0,7.0,,,Ala-Birmingham,2010
133,554366,J.Webb,2014,Youngstown State,26.0,6.0,7.0,218.0,CHI,T,22.0,5.0,27.0,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,West Texas A&M,2010
128,173642,J.Webb,2009,UAB,186.0,28.0,6.0,199.0,MIN,WR,23.0,0.0,4.0,4.0,102.0,90.0,159.0,888.0,3.0,6.0,50.0,326.0,4.0,10.0,74.0,0.0,7.0,,,Ala-Birmingham,2010
129,173642,J.Webb,2009,UAB,186.0,28.0,7.0,218.0,CHI,T,22.0,5.0,27.0,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,West Texas A&M,2010
132,554366,J.Webb,2014,Youngstown State,26.0,6.0,6.0,199.0,MIN,WR,23.0,0.0,4.0,4.0,102.0,90.0,159.0,888.0,3.0,6.0,50.0,326.0,4.0,10.0,74.0,0.0,7.0,,,Ala-Birmingham,2010
131,480812,J.Webb,2010,Kansas,69.0,67.0,7.0,218.0,CHI,T,22.0,5.0,27.0,18.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,West Texas A&M,2010
295,480696,J.White,2010,Iowa State,13.0,6.0,7.0,244.0,NYJ,WR,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,,,,West. Michigan,2012
296,480696,J.White,2010,Iowa State,13.0,6.0,4.0,130.0,NWE,RB,22.0,0.0,27.0,27.0,71.0,0.0,0.0,0.0,0.0,0.0,239.0,960.0,8.0,292.0,2568.0,20.0,,,,Wisconsin,2014
307,503422,J.White,2010,Wisconsin,1029.0,148.0,7.0,244.0,NYJ,WR,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,,,,West. Michigan,2012
297,480696,J.White,2011,Iowa State,736.0,163.0,5.0,133.0,BUF,RB,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,20.0,72.0,0.0,1.0,-3.0,0.0,6.0,,,North Carolina,2011
298,480696,J.White,2011,Iowa State,736.0,163.0,7.0,244.0,NYJ,WR,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,,,,West. Michigan,2012
308,503422,J.White,2010,Wisconsin,1029.0,148.0,4.0,130.0,NWE,RB,22.0,0.0,27.0,27.0,71.0,0.0,0.0,0.0,0.0,0.0,239.0,960.0,8.0,292.0,2568.0,20.0,,,,Wisconsin,2014
299,480696,J.White,2011,Iowa State,736.0,163.0,4.0,130.0,NWE,RB,22.0,0.0,27.0,27.0,71.0,0.0,0.0,0.0,0.0,0.0,239.0,960.0,8.0,292.0,2568.0,20.0,,,,Wisconsin,2014
300,480696,J.White,2012,Iowa State,497.0,102.0,5.0,133.0,BUF,RB,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,20.0,72.0,0.0,1.0,-3.0,0.0,6.0,,,North Carolina,2011
301,480696,J.White,2012,Iowa State,497.0,102.0,7.0,244.0,NYJ,WR,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,,,,West. Michigan,2012
302,480696,J.White,2012,Iowa State,497.0,102.0,4.0,130.0,NWE,RB,22.0,0.0,27.0,27.0,71.0,0.0,0.0,0.0,0.0,0.0,239.0,960.0,8.0,292.0,2568.0,20.0,,,,Wisconsin,2014
303,480696,J.White,2013,Iowa State,144.0,37.0,5.0,133.0,BUF,RB,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,20.0,72.0,0.0,1.0,-3.0,0.0,6.0,,,North Carolina,2011
304,480696,J.White,2013,Iowa State,144.0,37.0,7.0,244.0,NYJ,WR,24.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,,,,West. Michigan,2012
305,480696,J.White,2013,Iowa State,144.0,37.0,4.0,130.0,NWE,RB,22.0,0.0,27.0,27.0,71.0,0.0,0.0,0.0,0.0,0.0,239.0,960.0,8.0,292.0,2568.0,20.0,,,,Wisconsin,2014
309,503422,J.White,2011,Wisconsin,736.0,150.0,5.0,133.0,BUF,RB,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,20.0,72.0,0.0,1.0,-3.0,0.0,6.0,,,North Carolina,2011
